"","Date.x","Species","sex","standard_length","fork_length","total_length","Condition","year","Date.y","intensity_mean","intensity_max","intensity_cumulative"
"1",2000-06-27,"Southern stingray","F",76,NA,NA,"G",2000,2000-06-26,1.9258,2.4805,21.184
"2",2000-06-27,"Nurse shark","F",99,NA,145,"E",2000,2000-06-26,1.9258,2.4805,21.184
"3",2000-06-27,"Nurse shark","F",100,NA,144,"E",2000,2000-06-26,1.9258,2.4805,21.184
"4",2000-06-27,"Nurse shark","M",98,NA,135,"E",2000,2000-06-26,1.9258,2.4805,21.184
"5",2000-06-27,"Nurse shark","F",116,NA,174,"E",2000,2000-06-26,1.9258,2.4805,21.184
"6",2000-06-27,"N.brevirostris","F",101,NA,130,"G",2000,2000-06-26,1.9258,2.4805,21.184
"7",2000-06-27,"N.brevirostris","M",132,NA,173,"F",2000,2000-06-26,1.9258,2.4805,21.184
"8",2000-06-28,"Caribbean reef shark","M",100,NA,138,"F",2000,2000-06-26,1.9258,2.4805,21.184
"9",2000-06-28,"Caribbean reef shark","F",81,NA,110,"F",2000,2000-06-26,1.9258,2.4805,21.184
"10",2000-06-28,"Caribbean reef shark","F",84,NA,113,"F",2000,2000-06-26,1.9258,2.4805,21.184
"11",2000-06-28,"Caribbean reef shark","M",81,NA,109,"F",2000,2000-06-26,1.9258,2.4805,21.184
"12",2000-06-28,"Caribbean reef shark","M",98,NA,136,"F",2000,2000-06-26,1.9258,2.4805,21.184
"13",2000-06-28,"Southern stingray","F",80,NA,NA,"G",2000,2000-06-26,1.9258,2.4805,21.184
"14",2000-06-28,"Southern stingray","F",84,NA,NA,"G",2000,2000-06-26,1.9258,2.4805,21.184
"15",2000-06-28,"Nurse shark","F",114,NA,161,"E",2000,2000-06-26,1.9258,2.4805,21.184
"16",2000-06-28,"Nurse shark","M",169,NA,231,"E",2000,2000-06-26,1.9258,2.4805,21.184
"17",2000-06-28,"Nurse shark","F",84,NA,121,"E",2000,2000-06-26,1.9258,2.4805,21.184
"18",2000-06-28,"Nurse shark","M",161,NA,212,"E",2000,2000-06-26,1.9258,2.4805,21.184
"19",2000-06-28,"Nurse shark","F",100,NA,145,"E",2000,2000-06-26,1.9258,2.4805,21.184
"20",2000-06-29,"Nurse shark","M",145,NA,208,"E",2000,2000-06-26,1.9258,2.4805,21.184
"21",2000-06-28,"Nurse shark","M",147,NA,210,"E",2000,2000-06-26,1.9258,2.4805,21.184
"22",2000-06-28,"Caribbean sharpnose shark","F",83,NA,104,"E",2000,2000-06-26,1.9258,2.4805,21.184
"23",2000-06-29,"Caribbean reef shark","F",59,NA,81,"P",2000,2000-06-26,1.9258,2.4805,21.184
"24",2000-06-29,"Nurse shark","F",108,NA,147,"E",2000,2000-06-26,1.9258,2.4805,21.184
"25",2000-06-30,"Southern stingray","F",100,NA,NA,"E",2000,2000-06-26,1.9258,2.4805,21.184
"26",2000-06-30,"Nurse shark","F",85,NA,120,"G",2000,2000-06-26,1.9258,2.4805,21.184
"27",2000-06-30,"Nurse shark","M",142,NA,205,"E",2000,2000-06-26,1.9258,2.4805,21.184
"28",2000-06-30,"Nurse shark","F",101,NA,147,"E",2000,2000-06-26,1.9258,2.4805,21.184
"29",2000-06-30,"Nurse shark","F",105,NA,131,"F",2000,2000-06-26,1.9258,2.4805,21.184
"30",2000-06-30,"Nurse shark","F",150,NA,207,"E",2000,2000-06-26,1.9258,2.4805,21.184
"31",2000-06-30,"Nurse shark","M",128,NA,191,"E",2000,2000-06-26,1.9258,2.4805,21.184
"32",2000-06-30,"Nurse shark","M",124,NA,168,"E",2000,2000-06-26,1.9258,2.4805,21.184
"33",2000-06-30,"Nurse shark","F",111,NA,154,"E",2000,2000-06-26,1.9258,2.4805,21.184
"34",2000-06-30,"Nurse shark","M",127,NA,164,"E",2000,2000-06-26,1.9258,2.4805,21.184
"35",2000-06-30,"Nurse shark","F",141,NA,210,"E",2000,2000-06-26,1.9258,2.4805,21.184
"36",2000-06-30,"Nurse shark","F",100,NA,140,"G",2000,2000-06-26,1.9258,2.4805,21.184
"37",2000-06-30,"Nurse shark","F",78,NA,106,"E",2000,2000-06-26,1.9258,2.4805,21.184
"38",2000-07-01,"Caribbean reef shark","F",85,NA,112,"G",2000,2000-06-26,1.9258,2.4805,21.184
"39",2000-07-01,"C.falciformis","F",112,NA,154,"D",2000,2000-06-26,1.9258,2.4805,21.184
"40",2000-07-01,"Caribbean reef shark","F",141,NA,187,"G",2000,2000-06-26,1.9258,2.4805,21.184
"41",2000-07-02,"Nurse shark","M",127,NA,180,"E",2000,2000-06-26,1.9258,2.4805,21.184
"42",2000-07-04,"Caribbean reef shark","F",80,NA,108,"G",2000,2000-06-26,1.9258,2.4805,21.184
"43",2000-07-04,"Nurse shark","M",115,NA,165,"E",2000,2000-06-26,1.9258,2.4805,21.184
"44",2000-07-04,"Caribbean reef shark","M",76,NA,102,"G",2000,2000-06-26,1.9258,2.4805,21.184
"45",2000-07-04,"Caribbean reef shark","M",95,NA,130,"E",2000,2000-06-26,1.9258,2.4805,21.184
"46",2000-07-04,"Nurse shark","M",147,NA,207,"E",2000,2000-06-26,1.9258,2.4805,21.184
"47",2000-07-04,"Nurse shark","M",135,NA,176,"E",2000,2000-06-26,1.9258,2.4805,21.184
"48",2000-07-04,"Nurse shark","M",150,NA,209,"E",2000,2000-06-26,1.9258,2.4805,21.184
"49",2000-07-04,"Nurse shark","F",115,NA,165,"P",2000,2000-06-26,1.9258,2.4805,21.184
"50",2000-07-04,"Nurse shark","F",96,NA,132,"E",2000,2000-06-26,1.9258,2.4805,21.184
"51",2000-07-04,"Nurse shark","M",NA,NA,140,"E",2000,2000-06-26,1.9258,2.4805,21.184
"52",2000-07-04,"Nurse shark","F",126,NA,180,"E",2000,2000-06-26,1.9258,2.4805,21.184
"53",2000-07-06,"Southern stingray","F",110,NA,NA,"G",2000,2000-06-26,1.9258,2.4805,21.184
"54",2000-07-06,"Nurse shark","F",130,NA,183,"E",2000,2000-06-26,1.9258,2.4805,21.184
"55",2000-07-06,"Nurse shark","M",155,NA,215,"E",2000,2000-06-26,1.9258,2.4805,21.184
"56",2000-07-06,"Nurse shark","M",165,NA,231,"E",2000,2000-06-26,1.9258,2.4805,21.184
"57",2000-07-06,"Caribbean sharpnose shark","F",83,NA,106,"E",2000,2000-06-26,1.9258,2.4805,21.184
"58",2001-05-18,"Caribbean reef shark","F",85,98.4,117.4,"G",2001,2001-07-06,1.9675,2.7871,27.5452
"59",2001-05-18,"Nurse shark","M",156,NA,222,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"60",2001-05-18,"Caribbean reef shark","F",77,86,105,"P",2001,2001-07-06,1.9675,2.7871,27.5452
"61",2001-05-18,"Nurse shark","M",87.2,NA,122.8,"G",2001,2001-07-06,1.9675,2.7871,27.5452
"62",2001-05-18,"Caribbean reef shark","M",75,83.4,103,"G",2001,2001-07-06,1.9675,2.7871,27.5452
"63",2001-05-18,"Nurse shark","M",100,NA,152,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"64",2001-05-18,"Nurse shark","F",107.7,NA,167.2,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"65",2001-05-18,"Nurse shark","M",96.2,NA,141,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"66",2001-05-18,"Nurse shark","F",105,NA,156,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"67",2001-05-18,"Nurse shark","M",111,NA,161.8,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"68",2001-05-18,"Nurse shark","M",114,NA,176,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"69",2001-05-18,"Nurse shark","M",98.2,NA,142.8,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"70",2001-05-18,"Nurse shark","M",102,NA,148.2,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"71",2001-05-18,"Nurse shark","M",155.4,NA,225,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"72",2001-05-19,"Nurse shark","F",167,NA,237,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"73",2001-05-19,"Nurse shark","F",94,NA,153,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"74",2001-05-20,"Caribbean reef shark","M",70,79,99.2,"D",2001,2001-07-06,1.9675,2.7871,27.5452
"75",2001-05-20,"Caribbean reef shark","M",87,92.6,117.3,"F",2001,2001-07-06,1.9675,2.7871,27.5452
"76",2001-05-20,"Nurse shark","M",154.2,NA,205.2,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"77",2001-05-21,"C.falciformis","M",109.2,NA,146.6,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"78",2001-05-21,"Caribbean reef shark","F",166.4,181,217,"G",2001,2001-07-06,1.9675,2.7871,27.5452
"79",2001-05-21,"Caribbean reef shark","F",148,164.8,204.4,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"80",2001-05-21,"Caribbean reef shark","F",150,170.2,212,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"81",2001-05-21,"Caribbean reef shark","F",88,97,122,"P",2001,2001-07-06,1.9675,2.7871,27.5452
"82",2001-05-22,"Caribbean reef shark","F",151.8,167,205,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"83",2001-05-23,"C.galapagensis","F",115.2,127,153.2,"F",2001,2001-07-06,1.9675,2.7871,27.5452
"84",2001-05-23,"Caribbean reef shark","F",118.4,130.4,161,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"85",2001-05-23,"Caribbean reef shark","M",71.2,79,97.4,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"86",2001-05-23,"Caribbean reef shark","M",85.8,95.4,118.4,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"87",2001-05-24,"Caribbean reef shark","M",125.2,NA,163.2,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"88",2001-05-24,"Caribbean reef shark","M",129.4,143.8,177,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"89",2001-05-24,"Caribbean reef shark","M",140,157.6,187.4,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"90",2001-05-24,"Caribbean reef shark","F",100.6,112,138,"D",2001,2001-07-06,1.9675,2.7871,27.5452
"91",2001-05-25,"Nurse shark","M",151.4,NA,219.6,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"92",2001-05-25,"Nurse shark","F",101,NA,145,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"93",2001-05-25,"Nurse shark","M",123,NA,174.2,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"94",2001-05-25,"Nurse shark","M",149.8,NA,221,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"95",2001-05-25,"Nurse shark","F",147.2,NA,220.6,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"96",2001-05-25,"Nurse shark","M",124.8,NA,180.4,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"97",2001-05-25,"Caribbean reef shark","M",88,100.4,123.2,"D",2001,2001-07-06,1.9675,2.7871,27.5452
"98",2001-05-25,"Caribbean reef shark","F",72.9,82.2,104.7,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"99",2001-05-25,"Caribbean sharpnose shark","F",75,81.8,98.8,"D",2001,2001-07-06,1.9675,2.7871,27.5452
"100",2001-05-25,"Caribbean sharpnose shark","F",64,70.4,84,"D",2001,2001-07-06,1.9675,2.7871,27.5452
"101",2001-05-26,"Nurse shark","F",110.4,NA,156.2,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"102",2001-05-26,"Nurse shark","M",98.8,NA,141.8,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"103",2001-05-26,"Nurse shark","F",102.2,NA,156,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"104",2001-05-26,"Nurse shark","M",113,NA,166,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"105",2001-05-26,"Nurse shark","F",110.8,NA,163,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"106",2001-05-26,"Nurse shark","F",121,NA,167,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"107",2001-05-26,"Nurse shark","F",147.2,NA,210,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"108",2001-05-28,"Nurse shark","M",129,NA,186.4,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"109",2001-05-28,"Nurse shark","F",137.2,NA,195.2,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"110",2001-05-28,"Nurse shark","F",162.2,NA,222.6,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"111",2001-05-28,"Nurse shark","M",91.4,NA,133.2,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"112",2001-05-28,"Nurse shark","F",123.8,NA,182,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"113",2001-05-29,"Nurse shark","M",104,NA,149,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"114",2001-05-29,"Nurse shark","F",170.7,NA,236,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"115",2001-05-29,"Nurse shark","M",125.6,NA,188.2,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"116",2001-05-29,"Caribbean reef shark","M",97.8,103.6,131,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"117",2001-05-29,"Nurse shark","M",113,NA,162.2,"E",2001,2001-07-06,1.9675,2.7871,27.5452
"169",2003-05-17,"Nurse shark","F",109,NA,155,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"170",2003-05-17,"Nurse shark","M",94,NA,134,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"171",2003-05-17,"Nurse shark","F",102,NA,146,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"172",2003-05-17,"Nurse shark","M",153,NA,221,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"173",2003-05-17,"Nurse shark","F",126,NA,182,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"174",2003-05-17,"Nurse shark","F",110,NA,161,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"175",2003-05-17,"N.brevirostris","F",200,222,258,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"176",2003-05-18,"Caribbean reef shark","F",75,82,102,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"177",2003-05-18,"Caribbean sharpnose shark","F",70,76,89,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"178",2003-05-18,"Caribbean reef shark","F",106,125,155,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"179",2003-05-19,"Caribbean reef shark","F",110,122,153,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"180",2003-05-19,"Caribbean reef shark","M",98,107,134,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"181",2003-05-19,"Caribbean reef shark","M",71.4,81,99.8,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"182",2003-05-19,"Caribbean reef shark","F",NA,NA,230,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"183",2003-05-19,"Nurse shark","M",165,NA,235,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"184",2003-05-19,"Caribbean reef shark","M",84,93,115,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"185",2003-05-19,"Nurse shark","M",107,NA,157,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"186",2003-05-19,"Nurse shark","M",150,NA,210,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"187",2003-05-21,"Caribbean reef shark","F",92,107,125,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"188",2003-05-21,"Caribbean reef shark","M",103,115,141,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"189",2003-05-21,"Caribbean reef shark","F",100,109,133,"G",2003,2003-02-15,1.4995,1.7105,10.4964
"190",2003-05-21,"Caribbean reef shark","F",106,119,145,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"191",2003-05-21,"Caribbean reef shark","F",92,103,126,"G",2003,2003-02-15,1.4995,1.7105,10.4964
"192",2003-05-21,"Caribbean reef shark","M",103,113,143,"G",2003,2003-02-15,1.4995,1.7105,10.4964
"193",2003-05-21,"Caribbean reef shark","F",114,127,160,"G",2003,2003-02-15,1.4995,1.7105,10.4964
"194",2003-05-21,"Caribbean reef shark","F",110,125,151,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"195",2003-05-21,"Caribbean reef shark","F",NA,NA,201,"G",2003,2003-02-15,1.4995,1.7105,10.4964
"196",2003-05-22,"Caribbean reef shark","F",83.2,93,115,"G",2003,2003-02-15,1.4995,1.7105,10.4964
"197",2003-05-22,"Caribbean reef shark","M",102,111,141,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"198",2003-05-22,"Caribbean reef shark","F",105,113,143,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"199",2003-05-22,"Caribbean reef shark","M",110,122,153,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"200",2003-05-22,"Caribbean reef shark","M",75,82,96.4,"P",2003,2003-02-15,1.4995,1.7105,10.4964
"201",2003-05-22,"Caribbean reef shark","M",130,141,170,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"202",2003-05-23,"Caribbean reef shark","F",95,104,131,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"203",2003-05-23,"Nurse shark","M",100,NA,152,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"204",2003-05-23,"Nurse shark","M",115,NA,169,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"205",2003-05-25,"Nurse shark","F",123,NA,170,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"206",2003-05-25,"Caribbean reef shark","M",156,170,193,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"207",2003-05-25,"Nurse shark","F",125,NA,170,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"208",2003-05-25,"Nurse shark","M",130,NA,181,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"209",2003-05-25,"Nurse shark","M",131,NA,187,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"210",2003-05-25,"Nurse shark","F",152,NA,221,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"211",2003-05-25,"Nurse shark","F",160,NA,240,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"212",2003-05-26,"Caribbean reef shark","M",66,81,94,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"213",2003-05-26,"Caribbean reef shark","F",157,174,209,"D",2003,2003-02-15,1.4995,1.7105,10.4964
"214",2003-05-26,"Caribbean reef shark","M",64,72,85,"D",2003,2003-02-15,1.4995,1.7105,10.4964
"215",2003-05-26,"Caribbean reef shark","F",100,109,135,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"216",2003-05-26,"Nurse shark","F",149.5,NA,212,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"217",2003-05-26,"Nurse shark","F",99,NA,170,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"218",2003-05-26,"Nurse shark","F",100,NA,140,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"219",2003-05-26,"Nurse shark","M",160,NA,224,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"220",2003-05-26,"Nurse shark","F",130,NA,183,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"221",2003-05-27,"Caribbean reef shark","M",63.3,71.3,88.1,"G",2003,2003-02-15,1.4995,1.7105,10.4964
"222",2003-05-27,"Caribbean reef shark","F",84.6,98,117,"G",2003,2003-02-15,1.4995,1.7105,10.4964
"223",2003-05-27,"Caribbean reef shark","M",66.3,74,93,"G",2003,2003-02-15,1.4995,1.7105,10.4964
"224",2003-05-27,"Nurse shark","M",118,NA,177.5,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"225",2003-05-27,"Nurse shark","M",94,NA,136,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"226",2003-05-27,"Nurse shark","M",153,NA,217,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"227",2003-05-27,"Nurse shark","M",111,NA,158,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"228",2003-05-28,"Caribbean reef shark","M",107,117,148,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"229",2003-05-28,"Caribbean reef shark","F",85,99,120,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"230",2003-05-28,"Caribbean reef shark","M",NA,NA,190.2,"G",2003,2003-02-15,1.4995,1.7105,10.4964
"231",2003-05-25,"Caribbean reef shark","F",71,79,98,"E",2003,2003-02-15,1.4995,1.7105,10.4964
"232",2004-05-01,"Caribbean reef shark","F",73.2,83,103,"G",2004,2004-05-18,1.3746,1.8027,6.873
"233",2004-05-01,"Nurse shark","F",99,NA,145,"E",2004,2004-05-18,1.3746,1.8027,6.873
"234",2004-05-01,"Nurse shark","F",94,NA,136,"E",2004,2004-05-18,1.3746,1.8027,6.873
"235",2004-05-02,"Caribbean reef shark","M",141,160,197,"E",2004,2004-05-18,1.3746,1.8027,6.873
"236",2004-05-02,"Nurse shark","F",114,NA,165,"E",2004,2004-05-18,1.3746,1.8027,6.873
"237",2004-05-02,"Nurse shark","F",142,NA,208,"E",2004,2004-05-18,1.3746,1.8027,6.873
"238",2004-05-02,"Nurse shark","F",106,NA,155,"E",2004,2004-05-18,1.3746,1.8027,6.873
"239",2004-05-02,"Nurse shark","M",89,NA,128,"E",2004,2004-05-18,1.3746,1.8027,6.873
"240",2004-05-02,"Nurse shark","F",101,NA,144,"E",2004,2004-05-18,1.3746,1.8027,6.873
"241",2004-05-02,"Nurse shark","F",168,NA,238,"E",2004,2004-05-18,1.3746,1.8027,6.873
"242",2004-05-02,"Nurse shark","F",106,NA,153,"E",2004,2004-05-18,1.3746,1.8027,6.873
"243",2004-05-02,"Nurse shark","F",104,NA,141,"E",2004,2004-05-18,1.3746,1.8027,6.873
"244",2004-05-02,"Nurse shark","F",116,NA,164,"E",2004,2004-05-18,1.3746,1.8027,6.873
