Date,Species,sex,Standard.Length,Fork.Length,Total.Length,Condition
6/12/2009,Southern stingray,F,,,,
6/12/2009,C. SIGNATUS,F,153,171,208,E
6/12/2009,C. SIGNATUS,F,,,,G
6/12/2009,E. NIVEATUS,,,,101,
6/13/2009,Caribbean reef shark,M,108,118,147,E
6/13/2009,NO CATCH,,,,,
6/14/2009,Caribbean reef shark,F,92,104,127,
6/14/2009,Nurse shark,F,154,,220,E
6/15/2009,Nurse shark,M,149,,187,
6/16/2009,Southern stingray,F,,,,
6/14/2009,NO CATCH,,,,,
6/16/2009,NO CATCH,,,,,
5/1/2010,NO CATCH,,,,,
5/1/2010,Caribbean reef shark,F,72,80,101,E
5/1/2010,Nurse shark,M,163.5,,227,E
5/1/2010,Nurse shark,M,119,,171,
5/1/2010,Nurse shark,M,124,,168,
5/2/2010,Caribbean reef shark,M,67,76,93,P
5/2/2010,Caribbean reef shark,F,,,70 EST.,P
5/2/2010,Caribbean reef shark,F,78,87,107,G
5/2/2010,Nurse shark,M,150,,225,E
5/2/2010,Nurse shark,F,130,,184,E
5/2/2010,Nurse shark,M,127,,177,E
5/2/2010,Nurse shark,M,107,,151,G
5/2/2010,Nurse shark,M,50,,92,E
5/2/2010,Nurse shark,M,108,,145,E
5/2/2010,Nurse shark,F,108,,159,G
5/3/2010,Caribbean reef shark,F,52,59,73,E
5/3/2010,E. GUTTATUS,,,,,
5/3/2010,Caribbean reef shark,F,102,111,133,G
5/3/2010,Caribbean reef shark,M,133,143,182,G
5/3/2010,Nurse shark,M,149,,223,G
5/4/2010,R. porosus,F,,,100 EST,
5/4/2010,Nurse shark,F,119,,165,
5/4/2010,Nurse shark,F,77,,107,
5/4/2010,Nurse shark,M,61,,92,
5/4/2010,Nurse shark,F,117,,165,
5/4/2010,Nurse shark,F,120,,168,
5/5/2010,Southern stingray,F,,,,
5/5/2010,Nurse shark,F,111,,192,
5/5/2010,Nurse shark,M,145,,208,
5/5/2010,Caribbean reef shark,M,95,105,129,
5/5/2010,Caribbean reef shark,M,111,121,149,
5/5/2010,Caribbean reef shark,M,69,76,96,
5/5/2010,Caribbean reef shark,M,131,142,174,
5/5/2010,NO CATCH,,,,,
5/7/2010,Nurse shark,M,109,,155,
5/7/2010,S. BARRACUDA,,,,,
5/8/2010,UNKNOWN-BREAKOFF,,,,,
5/8/2010,M.bonaci,,,,,
5/8/2010,NO CATCH,,,,,
5/9/2010,Caribbean reef shark,M,68,74,92,
5/9/2010,,,,,,
5/9/2010,M.bonaci,,,,,
5/9/2010,M.bonaci,,,,,
5/9/2010,Nurse shark,F,163,,229,
5/9/2010,Nurse shark,F,158,,232,
5/10/2010,Caribbean reef shark,F,71,81,95,G
5/10/2010,M.bonaci,,,,,
5/10/2010,Nurse shark,M,100,,138,
5/10/2010,Nurse shark,F,77,,104,
5/10/2010,Nurse shark,F,94,,126,G
5/10/2010,E. NIVEATUS,,,,,
5/10/2010,M.bonaci,,,,,
5/22/2011,Caribbean reef shark,F,68.22,77.1,96.2,E
5/22/2011,Nurse shark,M,100,,140,E
5/22/2011,Southern stingray,,,,,
5/22/2011,Southern stingray,F,,,,
5/22/2011,Southern stingray,F,,,,
5/22/2011,Nurse shark,F,116,,157,
5/22/2011,Nurse shark,M,128,,180,
5/23/2011,Caribbean reef shark,F,160,174,214,G
5/23/2011,E. striatus,,34.5,,43,
5/23/2011,NO CATCH,,,,,
5/24/2011,Caribbean reef shark,M,69,78,96,E
5/24/2011,Caribbean reef shark,M,72,82,101,E
5/24/2011,Caribbean reef shark,M,65,73,91,E
5/24/2011,M.bonaci,,62,,80,
5/24/2011,Caribbean reef shark,F,91,98,117,E
5/24/2011,Caribbean reef shark,M,135,147,179,E
5/25/2011,Caribbean reef shark,M,70,77,94,E
5/25/2011,G. cuvier,F,162,171,217,E
5/25/2011,M.bonaci,,58,,70,E
5/25/2011,S. barracuda,,81,92,101,
5/26/2011,N. brevirostris,M,137,155,182,E
5/25/2011,Nurse shark,M,102,,163,E
6/6/2011,N. brevirostris,F,144,160,193,
6/7/2011,Caribbean reef shark,F,74,84,105,E
6/7/2011,Caribbean reef shark,F,100,111,140,E
6/7/2011,Nurse shark,M,73,,94,G
6/8/2011,Caribbean reef shark,M,66,76,91,G
6/8/2011,Caribbean reef shark,M,96,108,134,E
6/8/2011,Caribbean reef shark,M,69,79,95,E
6/8/2011,Caribbean reef shark,M,86,96,122,E
6/8/2011,Caribbean reef shark,F,118,134,159,
6/8/2011,Caribbean reef shark,F,73,81,102,
6/8/2011,Nurse shark,F,110,,160,E
6/8/2011,Nurse shark,F,120,,161,E
6/9/2011,Caribbean reef shark,M,65,72.4,90,E
6/9/2011,Caribbean reef shark,M,78,87,116.1,E
6/9/2011,Caribbean reef shark,M,70,78,98,F
6/9/2011,Caribbean reef shark,M,125,138,170,G
6/9/2011,Caribbean reef shark,M,82,91,115,E
6/9/2011,Caribbean reef shark,F,70,79,97,E
6/9/2011,R. porosus,F,74,81,97,G
6/9/2011,R. porosus,F,66,73,87,G
6/9/2011,C. latus,,54,64,70,
6/9/2011,C. latus,,60,69,80,
6/9/2011,Caribbean reef shark,M,70,80,96,E
6/9/2011,Caribbean reef shark,F,84,97,118,E
6/9/2011,Caribbean reef shark,M,71,81,100,E
6/9/2011,Caribbean reef shark,F,112,126,156,E
6/9/2011,Nurse shark,F,152,,213,
6/10/2011,Nurse shark,F,167,,235,E
6/10/2011,Caribbean reef shark,M,72,83,99,E
6/10/2011,Nurse shark,M,128,,178,E
6/11/2011,Caribbean reef shark,M,111,127,153,E
6/11/2011,NO CATCH,,,,,
6/16/2011,Caribbean reef shark,M,142,156,187,F
6/16/2011,Nurse shark,M,122,,178,E
6/17/2011,NO CATCH,,,,,
6/17/2011,NO CATCH,,,,,
6/17/2011,NO CATCH,,,,,
6/17/2011,NO CATCH,,,,,
6/17/2011,NO CATCH,,,,,
6/17/2011,NO CATCH,,,,,
6/18/2011,Nurse shark,M,95,,140,E
6/18/2011,Nurse shark,M,100,,143,E
6/18/2011,Nurse shark,M,112,,155,E
6/18/2011,Nurse shark,,,,,
6/18/2011,Nurse shark,M,125,,180,E
6/19/2011,Caribbean reef shark,M,53,60,74,E
6/19/2011,Nurse shark,M,106, ,145,E
6/19/2011,Nurse shark,M,97,,140,E
6/19/2011,Nurse shark,F,159,,220,E
6/20/2011,M.bonaci,,36,,45,
6/20/2011,M.bonaci,,58,,69,
6/20/2011,M.bonaci,,41,,50,
6/20/2011,NO CATCH,,,,,
7/3/2011,Nurse shark,M,75,,110,E
7/4/2011,Caribbean reef shark,M,76,87,107,F
7/4/2011,Caribbean reef shark,M,130,145,175,E
7/4/2011,M. venenosa, ,38,,50,
7/4/2011,M. bonaci, ,58, ,74,
7/4/2011,Nurse shark,F,85, ,111,E
7/4/2011,Nurse shark,F,98, ,133,E
7/4/2011,Caribbean reef shark,M,90,100,120,G
7/4/2011,Nurse shark,M,160, ,219,E
7/4/2011,S. barracuda,,95,108,116,
7/4/2011,Nurse shark,M,110,,158,E
7/4/2011,N. brevirostris,M,105,113,135,E
7/5/2011,Caribbean reef shark,F,69,91,112,E
7/5/2011,NO CATCH,,,,,
7/6/2011,Caribbean reef shark,M,55,62,76,G
7/6/2011,Caribbean reef shark,F,84,94,101,E
7/6/2011,Caribbean reef shark,M,113,124,149,E
7/6/2011,Caribbean reef shark,F,105,121,142,E
7/7/2011,NO CATCH,,,,,
7/13/2011,Nurse shark,M,130,,175,E
7/13/2011,Nurse shark,M,128,,173,E
7/13/2011,L. analis, ,54,63,67, 
7/13/2011,L. analis, ,44,56,60, 
7/14/2011,Caribbean reef shark,M,133,146,179,E
7/15/2011,Nurse shark,M,142,,200,E
7/15/2011,Nurse shark,F,133,,190,E
7/15/2011,Nurse shark,F,140,,205,E
7/15/2011,Nurse shark,F,113,,158,E
7/15/2011,Nurse shark,F,79,,100,E
7/15/2011,Nurse shark,F,,,190,F
7/16/2011,Nurse shark,M,163,,232,E
7/16/2011,Nurse shark,F,95,,134,E
7/23/2011,Nurse shark,M,143,,196,E
7/23/2011,Nurse shark,M,144,,200,E
7/23/2011,Southern stingray,F,,,,E
7/23/2011,Nurse shark,M,160,,220,E
7/23/2011,Nurse shark,F,125,,180,E
7/23/2011,Nurse shark,M,145,,175,E
7/23/2011,Nurse shark,F,130,,170,E
7/23/2011,Nurse shark,M,190,,220,E
7/23/2011,Nurse shark,F,126,,165,E
7/23/2011,Nurse shark,M,139,,159,E
7/23/2011,C. latus,,57,65,75,
7/24/2011,Caribbean reef shark,F,97,106,132,F
7/24/2011,Nurse shark,M,92, ,121,E
7/24/2011,Nurse shark,F,100, ,135,E
7/26/2011,Caribbean reef shark,M,124,140,175,E
7/26/2011,C. latus, ,57,66,75, 
7/26/2011,Caribbean reef shark,M,130,136,168,E
7/26/2011,Caribbean reef shark,F,123,138,161,E
7/26/2011,Caribbean reef shark,F,87,95,115,E
7/26/2011,Caribbean reef shark,M,80,88,110,F
7/27/2011,Caribbean reef shark,M,137,151,186,M
7/27/2011,S. barracuda, ,90,98,107, 
5/22/2012,Caribbean reef shark,M,70,77,92,E
5/22/2012,Caribbean reef shark,F,88,95,116,E
5/22/2012,Caribbean reef shark,F,63,69,85,E
5/22/2012,Caribbean reef shark,F,89,98,120,E
5/23/2012,Caribbean reef shark,F,73,82,99,E
5/23/2012,Caribbean reef shark,M,140,153,187,G
5/23/2012,Nurse shark,F,131,,184,G
5/24/2012,Caribbean reef shark,F,69,75,90,G
5/24/2012,Caribbean reef shark,M,,,190,P
5/24/2012,Caribbean reef shark,M,140,154,188,E
5/24/2012,Caribbean reef shark,M,68,77,92,E
5/24/2012,Nurse shark,F,168,,232,E
5/24/2012,Nurse shark,F,130,,187,E
5/24/2012,Nurse shark,F,129,,188,E
5/24/2012,Nurse shark,F,147,,214,E
5/24/2012,Nurse shark,F,142,,203,E
5/26/2012,Caribbean reef shark,F,90,100,126,E
5/26/2012,Caribbean reef shark,M,62,70,83,E
5/30/2012,Caribbean reef shark,F,140,158,187,E
5/31/2012,Nurse shark,M,145,,227,E
6/1/2012,Caribbean reef shark,N/A,N/A,N/A,N/A,P
6/1/2012,Nurse shark,F,163,,224,E
6/1/2012,Nurse shark,F,121,,174,E
6/1/2012,Nurse shark,M,101,,144,E
6/1/2012,Nurse shark,F,142,,194,E
6/1/2012,Nurse shark,F,117,,164,E
6/2/2012,Caribbean reef shark,F,73,84,100,E
6/2/2012,Nurse shark,M,97,,136,E
6/2/2012,Nurse shark,M,125,,157,E
6/2/2012,Nurse shark,M,95,,141,E
6/2/2012,Nurse shark,M,134,,190,E
6/3/2012,Nurse shark,F,105,,146,E
6/3/2012,Nurse shark,F,88,,120,E
6/4/2012,black tip shark,M,124,137,167,G
6/4/2012,Caribbean reef shark,M,100,109,132,E
6/4/2012,S. mokarran,F,,,235,G
6/4/2012,Nurse shark,M,144,,184,E
6/4/2012,Nurse shark,M,120,,186,E
6/4/2012,Nurse shark,M,85,,140,E
6/7/2012,Caribbean reef shark,M,122,131,159,G
6/7/2012,Nurse shark,F,113,,161,E
6/8/2012,N. brevirostris,F,135,146,167,E
6/8/2012,Nurse shark,F,86.1,,124,E
6/8/2012,Nurse shark,M,100,,137,E
6/8/2012,Nurse shark,M,113,,148,E
6/8/2012,Nurse shark,F,101,,129,E
6/9/2012,Nurse shark,F,145,,203,E
6/9/2012,Nurse shark,F,89,,127,E
6/9/2012,Nurse shark,F,108,,150,E
6/11/2012,C. acronotus,M,,,95,E
6/11/2012,Caribbean reef shark,F,153,170,205,E
6/11/2012,Nurse shark,M,90,,125,E
6/11/2012,Nurse shark,M,113,,160,E
6/11/2012,Nurse shark,M,154,,210,E
6/11/2012,Nurse shark,F,155,,204,E
6/12/2012,Caribbean reef shark,M,140,150,183,E
7/10/2012,Caribbean reef shark,M,56,66,78,E
7/10/2012,Caribbean reef shark,M,58,64,77,E
5/28/2013,Caribbean reef shark,F,103,113,140,E
5/28/2013,Caribbean reef shark,M,100,111,138,E
5/28/2013,Caribbean reef shark,F,125,138,171,G
5/28/2013,Caribbean reef shark,M,138,152,183,G
5/29/2013,Caribbean reef shark,F,69,76,96,E
5/29/2013,Caribbean reef shark,M,69,77,94,E
5/29/2013,Caribbean reef shark,M,68,75,93,G
5/29/2013,Caribbean reef shark,M,70,78,94,
5/30/2013,Caribbean reef shark,F,80,89,100,E
5/31/2013,Caribbean reef shark,F,66,73,88,E
5/31/2013,Caribbean reef shark,F,65,72,85,E
5/31/2013,Caribbean reef shark,M,135,149,181,E
6/3/2013,Caribbean reef shark,F,138,157,188,E
6/3/2013,Caribbean reef shark,M,67,78,93,G
6/3/2013,Caribbean reef shark,M,81,90,102,E
6/4/2013,Caribbean reef shark,M,68,77,92,E
6/4/2013,Caribbean reef shark,M,71,82,95,E
6/4/2013,Caribbean reef shark,F,70,80,95,G
6/5/2013,Caribbean reef shark,F,155,168,204,E
6/6/2013,Caribbean reef shark,F,68,76,92,G
6/7/2013,Caribbean reef shark,M,68,76,92,G
6/7/2013,Caribbean reef shark,F,80,89,100,G
6/7/2013,Caribbean reef shark,M,69,77,97,G
6/8/2013,Caribbean reef shark,,,,,
6/8/2013,Caribbean reef shark,,,,,
6/16/2013,Caribbean reef shark,F,66,75,93,
5/28/2013,Nurse shark,,,,,
5/28/2013,Nurse shark,,,,,
5/28/2013,Nurse shark,M,100,,145,
5/28/2013,Nurse shark,M,100,,140,
5/29/2013,Nurse shark,M,125,n/a,187,E
5/29/2013,Nurse shark,F,130,n/a,175,E
5/29/2013,Nurse shark,M,n/a,n/a,n/a,
5/29/2013,Nurse shark,M,115,n/a,163,G
5/29/2013,Nurse shark,F,111,,149,E
5/29/2013,Nurse shark,F,112,,150,E
5/29/2013,Nurse shark,,,,,
5/29/2013,Nurse shark,M,97,,140,E
5/29/2013,Nurse shark,F,123,,173,E
5/29/2013,Nurse shark,,,,,
6/3/2013,Nurse shark,F,165,,220,E
6/4/2013,Nurse shark,,105,,142,E
6/5/2013,Nurse shark,M,175,,230,E
6/6/2013,Nurse shark,F,150,,210,E
6/6/2013,Nurse shark,M,98,,150,E
6/6/2013,Nurse shark,M,120,,151,E
6/6/2013,Nurse shark,,,,,
6/6/2013,Nurse shark,M,139,,195,E
6/6/2013,Nurse shark,M,137,,194,E
6/6/2013,Nurse shark,M,135,,186,E
6/6/2013,Nurse shark,F,142,,199,E
6/6/2013,Nurse shark,M,119,,169,E
6/7/2013,Nurse shark,M,108,,135,E
6/7/2013,Nurse shark,F,131,,160,E
6/7/2013,Nurse shark,F,,,164,
6/7/2013,Nurse shark,F,112,,176,E
6/13/2013,Nurse shark,F,91,,158,E
6/13/2013,Nurse shark,M,123,,165,E
6/14/2013,Nurse shark,M,105,,150,E
6/14/2013,Nurse shark,M,111,,160,E
6/15/2013,Nurse shark,F,160,,210,E
6/15/2013,Nurse shark,F,200,,230,E
6/15/2013,Nurse shark,F,170,,228,E
6/16/2013,Nurse shark,M,150,,200,E
6/4/2013,Southern stingray,F,,,,
6/4/2013,Southern stingray,F,,,,
6/4/2013,Southern stingray,F,,,,
5/28/2014,Nurse shark,F,na,na,na,na
5/29/2014,na,na,na,na,na,na
5/29/2014,na,na,na,na,na,na
5/29/2014,Nurse shark,M,98,na,142,E
5/29/2014,Nurse shark,F,11,na,171.5,E
5/29/2014,na,na,na,na,na,na
5/29/2014,na,na,na,na,na,na
5/29/2014,Jacked,na,na,na,na,na
5/30/2014,Nurse shark,F,64,na,95,E
5/30/2014,na,na,na,na,na,na
5/30/2014,Nurse shark,M,101,na,155,E
5/30/2014,na,na,na,na,na,na
5/30/2014,na,na,na,na,na,na
5/30/2014,na,na,na,na,na,na
5/30/2014,na,na,na,na,na,na
5/30/2014,na,na,na,na,na,na
5/30/2014,na,na,na,na,na,na
5/30/2014,Nurse shark,M,113,na,166,E
5/30/2014,na,na,na,na,na,na
5/30/2014,na,na,na,na,na,na
5/30/2014,na,na,na,na,na,na
6/7/2014,Nurse shark,M,100,,145,E
6/7/2014,Nurse shark,M,110,,165,E
6/7/2014,Nurse shark,F,103,,146,E
6/7/2014,Nurse shark,M,109,,158,E
6/8/2014,Nurse shark,,,,,E
6/8/2014,Nurse shark,,,,,E
6/8/2014,Nurse shark,F,150,,216,E
6/8/2014,Nurse shark,F,110,,210,E
6/23/2014,Nurse shark,M,154,,228,E
6/23/2014,Nurse shark,M,145,,212,E
6/23/2014,Nurse shark,F,110,,160,E
6/23/2014,Nurse shark,M,160,,228,E
6/24/2014,Nurse shark,M,110,,157,E
6/25/2014,Nurse shark,M,111,,162,E
6/25/2014,Nurse shark,M,159,,227,E
6/25/2014,Nurse shark,M,155,,204,E
6/25/2014,Nurse shark,M,132,,202,E
6/25/2014,Caribbean reef shark,F,167,178,218,E
6/26/2014,Nurse shark,F,142,,200,E
6/26/2014,Nurse shark,M,98,,139,E
6/26/2014,Nurse shark,,106,,161,E
6/27/2014,Nurse shark,M,115,,166,E
7/26/2014,Nurse shark,M,115,,163,E
7/27/2014,Caribbean reef shark,M,78,82,100,F
7/27/2014,Nurse shark,F,139,,205,E
7/27/2014,Nurse shark,M,145,,209,E
7/28/2014,Nurse shark,M,155,,210,E
7/29/2014,Caribbean reef shark,F,92,99,123,E
7/29/2014,Caribbean reef shark,M,75,83,105,E
7/29/2014,Caribbean reef shark,F,70,77,95,E
7/29/2014,Nurse shark,M,143,,208,E
7/29/2014,Nurse shark,M,111,,162,E
7/25/2014,Nurse shark,M,120,,215,E
7/26/2014,Nurse shark,M,160,,225,E
7/28/2014,Nurse shark,M,150,,220,E
,Caribbean reef shark,M,75,83,105,
,Caribbean reef shark,M,75,83,105,
